name,primary_category,apple_categories,cueola_tags,semantic_names,availability,source_path,runtime_path,aliases
sun.max.fill,weather,keyboard;multicolor;nature;weather,department:lighting;state:weather,,2019,source/weather/sun.max.fill.svg,runtime/regular-small/weather/sun.max.fill.svg,
sunset,weather,nature;weather,department:lighting;state:weather,,2019,source/weather/sunset.svg,runtime/regular-small/weather/sunset.svg,
sunset.fill,weather,multicolor;nature;weather,department:lighting;state:weather,,2019,source/weather/sunset.fill.svg,runtime/regular-small/weather/sunset.fill.svg,
text.badge.plus,textformatting,multicolor;textformatting,department:script,action.add,2019,source/textformatting/text.badge.plus.svg,runtime/regular-small/textformatting/text.badge.plus.svg,
text.line.first.and.arrowtriangle.forward,textformatting,media;textformatting;arrows,department:script,,2022,source/textformatting/text.line.first.and.arrowtriangle.forward.svg,runtime/regular-small/textformatting/text.line.first.and.arrowtriangle.forward.svg,
text.line.last.and.arrowtriangle.forward,textformatting,media;textformatting;arrows,department:script,,2022,source/textformatting/text.line.last.and.arrowtriangle.forward.svg,runtime/regular-small/textformatting/text.line.last.and.arrowtriangle.forward.svg,
text.pad.header,textformatting,objectsandtools;textformatting,department:script,,2025,source/textformatting/text.pad.header.svg,runtime/regular-small/textformatting/text.pad.header.svg,
text.page,textformatting,textformatting,department:script,content.script;department.script,2024,source/textformatting/text.page.svg,runtime/regular-small/textformatting/text.page.svg,
thermometer.sun.fill,weather,multicolor;nature;variable;weather,department:lighting;state:weather,,2020,source/weather/thermometer.sun.fill.svg,runtime/regular-small/weather/thermometer.sun.fill.svg,
tornado,weather,multicolor;nature;weather,state:weather,,2019,source/weather/tornado.svg,runtime/regular-small/weather/tornado.svg,
tortoise,nature,accessibility;nature,,,2019,source/nature/tortoise.svg,runtime/regular-small/nature/tortoise.svg,
trash,objectsandtools,multicolor;objectsandtools,,action.delete,2019,source/objectsandtools/trash.svg,runtime/regular-small/objectsandtools/trash.svg,
tree,nature,multicolor;nature;objectsandtools,,,2022.1,source/nature/tree.svg,runtime/regular-small/nature/tree.svg,
tropicalstorm,weather,multicolor;nature;weather,state:weather,,2019,source/weather/tropicalstorm.svg,runtime/regular-small/weather/tropicalstorm.svg,
tv,media,devices;media,department:playback,,2019,source/media/tv.svg,runtime/regular-small/media/tv.svg,
waveform.low,media,communication;maps;variable;media,department:audio,,2025,source/media/waveform.low.svg,runtime/regular-small/media/waveform.low.svg,
waveform.path,media,media,department:audio,,2019,source/media/waveform.path.svg,runtime/regular-small/media/waveform.path.svg,
wind,weather,nature;weather,state:weather,,2019,source/weather/wind.svg,runtime/regular-small/weather/wind.svg,
wrench.adjustable,objectsandtools,objectsandtools,action:settings,,2022,source/objectsandtools/wrench.adjustable.svg,runtime/regular-small/objectsandtools/wrench.adjustable.svg,
xmark,objectsandtools,gaming;multicolor;objectsandtools,action:navigation,action.close,2019,source/objectsandtools/xmark.svg,runtime/regular-small/objectsandtools/xmark.svg,
